datetime,open,high,low,close,volume,Timestamp
2019-12-23,132.18,135.09,126.01,127.73,698722.014,1577059200000
2019-12-24,127.75,129.67,126.45,127.76,497534.945,1577145600000
2019-12-25,127.72,127.83,123.0,125.06,455279.225,1577232000000
2019-12-26,125.06,132.44,124.33,125.53,583380.778,1577318400000
2019-12-27,125.53,127.06,122.0,126.21,567887.536,1577404800000
2019-12-28,126.24,129.62,125.77,128.04,468730.855,1577491200000
2019-12-29,128.02,138.25,127.5,134.28,771614.663,1577577600000
2019-12-30,134.22,136.21,130.19,131.52,692165.824,1577664000000
2019-12-31,131.53,133.64,128.15,129.12,647743.359,1577750400000
2020-01-01,129.12,132.96,128.62,130.62,466063.929,1577836800000
2020-01-02,130.63,130.75,126.25,127.11,523582.924,1577923200000
2020-01-03,127.11,135.07,125.78,134.29,951123.597,1578009600000
2020-01-04,134.31,135.8,132.41,134.14,509778.108,1578096000000
2020-01-05,134.14,138.17,134.12,135.33,669677.687,1578182400000
2020-01-06,135.32,144.38,134.82,144.04,1095147.166,1578268800000
2020-01-07,144.11,145.25,138.7,142.86,963331.505,1578355200000
2020-01-08,142.86,147.94,137.15,140.75,1208133.766,1578441600000
2020-01-09,140.76,141.52,135.33,137.73,956864.213,1578528000000
2020-01-10,137.73,145.15,135.22,144.8,908378.249,1578614400000
2020-01-11,144.8,148.03,142.0,142.4,832163.204,1578700800000
2020-01-12,142.4,146.6,141.71,146.57,630256.911,1578787200000
2020-01-13,146.57,147.0,142.32,143.58,558655.672,1578873600000
2020-01-14,143.57,171.0,143.49,165.77,2169559.414,1578960000000
2020-01-15,165.75,172.18,159.35,166.6,1391999.279,1579046400000
2020-01-16,166.61,167.63,158.43,164.37,784199.474,1579132800000
2020-01-17,164.39,174.79,162.27,170.06,946707.348,1579219200000
2020-01-18,170.06,179.57,165.08,174.43,819444.357,1579305600000
2020-01-19,174.37,178.42,161.81,167.04,742371.819,1579392000000
2020-01-20,167.04,169.48,161.5,167.03,390055.869,1579478400000
2020-01-21,167.01,170.34,165.02,169.52,351565.999,1579564800000
2020-01-22,169.62,171.61,166.12,168.19,334378.174,1579651200000
2020-01-23,168.24,168.38,159.41,162.97,481102.22,1579737600000
2020-01-24,162.97,164.65,155.72,162.63,472568.424,1579824000000
2020-01-25,162.66,163.0,157.8,160.52,282785.555,1579910400000
2020-01-26,160.5,168.16,159.5,167.9,326188.863,1579996800000
2020-01-27,167.98,172.26,165.28,170.21,418039.792,1580083200000
2020-01-28,170.25,176.7,170.22,175.88,525282.459,1580169600000
2020-01-29,175.89,178.85,173.3,173.8,401619.605,1580256000000
2020-01-30,173.86,187.4,171.07,185.14,653770.608,1580342400000
2020-01-31,185.16,186.34,175.5,180.14,672522.049,1580428800000
2020-02-01,180.14,184.58,179.41,183.82,526688.019,1580515200000
2020-02-02,183.8,193.7,179.0,188.59,907342.798,1580601600000
2020-02-03,188.64,195.45,186.65,189.92,652054.538,1580688000000
2020-02-04,189.89,191.76,184.71,189.01,614290.379,1580774400000
2020-02-05,189.0,208.18,188.26,204.1,902811.615,1580860800000
2020-02-06,204.1,216.7,201.28,213.27,1254989.317,1580947200000
2020-02-07,213.3,225.36,213.3,223.57,1054174.736,1581033600000
2020-02-08,223.57,228.02,213.35,223.57,1090545.108,1581120000000
2020-02-09,223.57,230.9,223.5,228.64,969021.787,1581206400000
2020-02-10,228.71,229.96,217.32,223.03,1175671.024,1581292800000
2020-02-11,223.04,239.98,218.64,237.16,1194286.448,1581379200000
2020-02-12,237.17,277.97,237.17,266.24,2223807.477,1581465600000
2020-02-13,266.26,278.8,256.2,268.48,2386998.02,1581552000000
2020-02-14,268.48,287.58,260.53,285.4,1447161.175,1581638400000
2020-02-15,285.4,289.0,262.41,265.08,1925220.413,1581724800000
2020-02-16,265.16,274.3,237.86,258.87,2297491.401,1581811200000
2020-02-17,258.87,268.81,242.32,268.0,2129022.892,1581897600000
2020-02-18,267.99,286.48,258.78,282.96,1885124.383,1581984000000
2020-02-19,282.96,286.7,250.0,258.43,1677778.697,1582070400000
2020-02-20,258.39,264.32,245.91,257.11,1618473.989,1582156800000
2020-02-21,257.18,268.5,253.89,265.44,985301.295,1582243200000
2020-02-22,265.45,267.16,256.23,261.83,752957.418,1582329600000
2020-02-23,261.82,275.84,261.5,274.67,940831.98,1582416000000
2020-02-24,274.66,277.26,257.5,265.7,1483265.023,1582502400000
2020-02-25,265.69,266.4,244.57,247.03,1563901.657,1582588800000
2020-02-26,247.03,250.54,215.75,224.1,2729291.802,1582675200000
2020-02-27,224.13,238.58,210.01,227.92,2374539.334,1582761600000
2020-02-28,227.93,234.93,214.25,227.09,2026863.186,1582848000000
2020-02-29,227.04,233.33,217.14,217.31,1309444.25,1582934400000
2020-03-01,217.37,228.0,212.33,218.01,1775078.523,1583020800000
2020-03-02,218.01,234.5,216.24,232.22,1604040.396,1583107200000
2020-03-03,232.24,232.67,220.21,224.1,1544830.651,1583193600000
2020-03-04,224.1,229.0,220.45,224.47,1027175.512,1583280000000
2020-03-05,224.43,234.26,224.43,228.64,1142530.928,1583366400000
2020-03-06,228.63,245.38,227.6,244.94,1307956.34,1583452800000
2020-03-07,244.97,251.8,236.3,237.34,1637057.953,1583539200000
2020-03-08,237.36,237.38,195.35,199.54,3150036.792,1583625600000
2020-03-09,199.54,208.65,190.02,203.02,3885205.704,1583712000000
2020-03-10,202.95,206.32,195.66,200.95,2008333.356,1583798400000
2020-03-11,200.9,203.26,181.88,194.81,2125322.09,1583884800000
2020-03-12,194.77,195.81,95.0,106.71,7116256.717,1583971200000
2020-03-13,106.97,323.0,84.23,134.13,6584772.112,1584057600000
2020-03-14,134.1,134.67,121.16,122.55,1845475.252,1584144000000
2020-03-15,122.56,133.85,120.4,123.89,1802030.406,1584230400000
2020-03-16,123.87,124.4,100.11,111.06,3622097.906,1584316800000
2020-03-17,111.04,121.55,109.34,115.68,2053691.349,1584403200000
2020-03-18,115.67,118.59,109.78,118.16,1583517.464,1584489600000
2020-03-19,118.12,143.34,115.5,136.42,2098800.654,1584576000000
2020-03-20,136.42,152.68,116.67,133.52,3128620.956,1584662400000
2020-03-21,133.48,137.58,125.58,132.67,1933564.299,1584748800000
