datetime,open,high,low,close,volume,Timestamp
2019-12-23 00:00:00,132.18,135.09,130.8,133.0,292298.944,1577059200000
2019-12-23 12:00:00,132.97,134.41,126.01,127.73,406423.07,1577102400000
2019-12-24 00:00:00,127.75,129.0,126.45,128.59,235241.965,1577145600000
2019-12-24 12:00:00,128.52,129.67,126.78,127.76,262292.98,1577188800000
2019-12-25 00:00:00,127.72,127.83,123.85,124.34,211928.239,1577232000000
2019-12-25 12:00:00,124.32,125.91,123.0,125.06,243350.986,1577275200000
2019-12-26 00:00:00,125.06,126.0,124.33,125.07,148797.55,1577318400000
2019-12-26 12:00:00,125.06,132.44,124.37,125.53,434583.228,1577361600000
2019-12-27 00:00:00,125.53,126.7,122.0,123.52,235363.237,1577404800000
2019-12-27 12:00:00,123.53,127.06,122.85,126.21,332524.299,1577448000000
2019-12-28 00:00:00,126.24,128.49,125.77,127.23,272311.385,1577491200000
2019-12-28 12:00:00,127.23,129.62,126.73,128.04,196419.47,1577534400000
2019-12-29 00:00:00,128.02,129.33,127.5,129.27,138318.526,1577577600000
2019-12-29 12:00:00,129.28,138.25,128.85,134.28,633296.137,1577620800000
2019-12-30 00:00:00,134.22,136.21,132.41,133.05,329608.452,1577664000000
2019-12-30 12:00:00,133.05,133.65,130.19,131.52,362557.372,1577707200000
2019-12-31 00:00:00,131.53,132.95,130.66,131.87,232913.35,1577750400000
2019-12-31 12:00:00,131.87,133.64,128.15,129.12,414830.009,1577793600000
2020-01-01 00:00:00,129.12,131.88,128.62,130.64,205571.744,1577836800000
2020-01-01 12:00:00,130.63,132.96,129.54,130.62,260492.185,1577880000000
2020-01-02 00:00:00,130.63,130.75,128.67,129.48,235841.445,1577923200000
2020-01-02 12:00:00,129.47,129.95,126.25,127.11,287741.479,1577966400000
2020-01-03 00:00:00,127.11,132.97,125.78,132.42,469124.111,1578009600000
2020-01-03 12:00:00,132.4,135.07,130.94,134.29,481999.486,1578052800000
2020-01-04 00:00:00,134.31,134.73,132.74,133.71,233109.439,1578096000000
2020-01-04 12:00:00,133.71,135.8,132.41,134.14,276668.669,1578139200000
2020-01-05 00:00:00,134.14,137.25,134.12,135.03,278679.9,1578182400000
